team_name,league_value,team_value,goals,xgShot,xgShotAgainst,concededGoals,diff_goals,score_full_normal,score_normal_historical,score_normal_current
Portland Timbers,1270.0,39.8,1.23,1.22,1.3,1.55,-0.32000000000000006,52.88220551378446,43.10776942355889,28.57142857142857
Colorado Rapids,1270.0,34.03,0.7,1.05,1.42,1.46,-0.76,52.63157894736842,3.258145363408521,10.526315789473683
Columbus Crew,1270.0,41.95,1.77,1.46,1.2,1.22,0.55,52.38095238095239,39.849624060150376,76.44110275689223
Bordeaux,339.0,34.85,0.66,1.54,1.0,1.16,-0.4999999999999999,52.130325814536334,53.63408521303258,30.576441102756892
FC Luzern,280.76,26.55,1.4,1.66,1.4,1.35,0.04999999999999982,51.8796992481203,28.82205513784461,51.37844611528822
Wolverhampton,10410.0,320.48,1.08,1.12,1.78,1.47,-0.3899999999999999,51.62907268170426,84.21052631578947,81.95488721804512
Yokohama FC,254.5,9.83,0.78,1.0,1.54,1.56,-0.78,51.37844611528822,45.86466165413533,7.268170426065162
Leicester City,10410.0,252.0,1.95,1.8,0.9,0.53,1.42,51.127819548872175,90.97744360902256,95.98997493734336
Spezia,4580.0,41.65,0.67,1.18,0.95,1.23,-0.5599999999999999,50.877192982456144,17.543859649122805,47.86967418546366
Ipswich Town,224.44,32.08,2.0,1.7,1.15,1.04,0.96,50.6265664160401,42.857142857142854,83.95989974937343
Celta Vigo,4660.0,117.8,0.88,1.44,1.46,1.59,-0.7100000000000001,50.37593984962406,56.64160401002506,40.35087719298245
Chicago Fire,1270.0,35.9,1.04,1.03,1.4,1.36,-0.32000000000000006,50.125313283208015,59.899749373433586,22.807017543859647
NEC,967.18,106.0,1.42,1.21,1.74,1.62,-0.20000000000000018,49.87468671679198,27.31829573934837,29.32330827067669
FC Cincinnati,1270.0,47.35,1.51,1.61,1.08,1.03,0.48,49.62406015037594,16.541353383458645,77.94486215538848
Gamba Osaka,254.5,13.98,1.11,1.35,1.37,1.62,-0.51,49.373433583959894,11.528822055137844,16.541353383458645
KV Kortrijk,832.45,25.4,0.74,1.17,1.63,1.8,-1.06,49.122807017543856,38.095238095238095,5.012531328320802
Rosenborg,213.21,21.95,1.17,1.4,1.45,1.5,-0.33000000000000007,48.87218045112782,7.769423558897243,21.804511278195488
IK Sirius,229.08,9.48,1.44,1.56,1.25,1.34,0.09999999999999987,48.62155388471178,4.511278195488721,53.1328320802005
OH Leuven,832.45,29.35,1.46,1.48,1.53,1.55,-0.09000000000000008,48.370927318295735,39.34837092731829,36.59147869674185
Sheffield Wednesday,224.44,19.65,0.37,0.54,1.07,1.4,-1.0299999999999998,48.1203007518797,43.859649122807014,4.260651629072681
Reading,1680.0,18.15,0.65,1.1,1.26,1.37,-0.7200000000000001,47.86967418546366,23.308270676691727,14.285714285714285
